X,Y,Z,R
533434.95,4840341.01,150.69,620.0
533434.63,4840341.39,150.8,840.0
533435.0,4840341.65,150.81,1280.0
533435.06,4840341.96,150.87,1180.0
533434.97,4840342.22,150.95,1050.0
533434.69,4840342.04,150.91,610.0
533434.37,4840342.2,150.87,450.0
533434.27,4840343.36,150.71,560.0
533434.22,4840343.56,150.47,1300.0
533434.77,4840342.92,150.88,1500.0
533434.47,4840343.8,150.7,1500.0
533433.85,4840343.98,150.38,540.0
533434.3,4840344.19,150.45,660.0
533433.78,4840344.3,150.41,520.0
533441.37,4840342.4,155.79,890.0
533441.36,4840342.17,155.74,980.0
533441.37,4840341.98,155.64,1010.0
533441.36,4840341.8,155.57,1100.0
533441.34,4840341.58,155.48,1215.0
533441.33,4840341.37,155.41,1370.0
533441.35,4840341.39,155.3,1110.0
533441.36,4840341.59,155.36,1130.0
533441.38,4840341.76,155.41,1100.0
533441.38,4840341.92,155.47,1000.0
533441.38,4840342.1,155.52,910.0
533441.38,4840342.31,155.57,880.0
533441.48,4840342.51,155.51,900.0
533441.45,4840342.33,155.44,820.0
533441.45,4840342.12,155.36,840.0
533441.43,4840341.97,155.31,890.0
533441.46,4840341.75,155.22,970.0
533441.51,4840341.56,155.11,1050.0
533441.49,4840341.77,155.06,930.0
533441.51,4840341.6,155.01,1120.0
533441.46,4840342.14,155.16,820.0
533441.48,4840341.95,155.1,900.0
533441.64,4840342.65,155.31,790.0
533441.62,4840342.46,155.22,800.0
533441.6,4840342.25,155.1,730.0
533441.51,4840341.81,154.97,950.0
533441.54,4840341.62,154.93,1180.0
533441.64,4840342.77,155.21,800.0
533441.62,4840342.57,155.11,770.0
533441.6,4840342.4,155.02,840.0
533441.55,4840342.22,154.94,890.0
533441.54,4840342.04,154.83,1060.0
533441.5,4840341.82,154.73,1030.0
533441.55,4840341.64,154.76,1130.0
533441.52,4840341.7,154.65,980.0
533441.53,4840341.82,154.51,950.0
533441.53,4840341.88,154.43,900.0
533441.56,4840342.05,154.53,1030.0
533441.58,4840342.23,154.49,900.0
533441.54,4840342.09,154.68,1080.0
533441.58,4840342.19,154.58,1100.0
533441.56,4840342.06,154.55,1020.0
533441.64,4840342.83,155.03,940.0
533441.64,4840342.91,154.94,1000.0
533441.63,4840342.8,154.93,1100.0
533441.58,4840342.63,154.91,1050.0
533441.58,4840342.48,154.86,1110.0
533441.6,4840342.49,154.74,1160.0
533441.62,4840342.56,154.7,1140.0
533441.64,4840342.75,154.83,1150.0
533441.68,4840342.92,154.78,920.0
533441.65,4840342.6,154.55,860.0
533441.79,4840342.82,154.54,680.0
533441.78,4840342.69,154.47,610.0
533441.65,4840342.49,154.45,800.0
533441.62,4840342.31,154.35,730.0
533441.6,4840342.09,154.39,780.0
533441.75,4840342.54,154.3,500.0
533441.75,4840342.54,154.17,530.0
533441.64,4840342.34,154.25,650.0
533441.63,4840342.38,154.18,700.0
533441.64,4840342.17,154.25,700.0
533441.63,4840342.19,154.16,670.0
533440.75,4840341.26,155.62,810.0
